supplier_id,name,code,category,country,city,tier,reliability_rating,financial_health_score,baseline_lead_time_days,payment_terms,iso_certified,is_active,created_at
SUP-0001,Cleveland Capacitors Precision Mfg,VND-00001,Electronic Components,USA,"Cleveland, OH",TIER_3,47.4,55.0,58,NET30,True,True,2025-01-01T00:00:00
SUP-0002,Detroit Capacitors Precision Mfg,VND-00002,Electronic Components,USA,"Detroit, MI",TIER_2,75.5,82.9,20,2/10 NET30,True,True,2025-01-01T00:00:00
SUP-0003,Nagoya Hex Flange Bolts M8 Systems AG,VND-00003,Packaging & Hardware,Japan,Nagoya,TIER_2,79.7,87.2,20,NET60,False,True,2025-01-01T00:00:00
SUP-0004,Cleveland Silicone Gaskets Solutions Corp,VND-00004,Polymers & Chemical,USA,"Cleveland, OH",TIER_2,75.7,79.7,28,2/10 NET30,False,True,2025-01-01T00:00:00
SUP-0005,Ho Chi Minh City Titanium Plates Precision Mfg,VND-00005,Raw Metallurgy,Vietnam,Ho Chi Minh City,TIER_2,75.8,83.9,21,NET30,True,True,2025-01-01T00:00:00
SUP-0006,Ulsan PCBs Systems AG,VND-00006,Electronic Components,South Korea,Ulsan,TIER_1,94.1,90.3,12,NET60,True,True,2025-01-01T00:00:00
SUP-0007,Taipei Connectors Systems AG,VND-00007,Electronic Components,Taiwan,Taipei,TIER_2,82.9,87.8,22,NET45,True,True,2025-01-01T00:00:00
SUP-0008,Munich Sensors Global Parts,VND-00008,Electronic Components,Germany,Munich,TIER_2,78.6,85.8,32,NET60,True,True,2025-01-01T00:00:00
SUP-0009,Incheon Polycarbonate Sheets Industries Inc,VND-00009,Polymers & Chemical,South Korea,Incheon,TIER_3,62.1,37.4,52,2/10 NET30,True,True,2025-01-01T00:00:00
SUP-0010,Tokyo Polycarbonate Sheets Solutions Corp,VND-00010,Polymers & Chemical,Japan,Tokyo,TIER_2,87.8,72.8,17,NET45,True,True,2025-01-01T00:00:00
SUP-0011,Hsinchu Industrial Lubricants Global Parts,VND-00011,Polymers & Chemical,Taiwan,Hsinchu,TIER_2,83.0,87.5,22,NET30,True,True,2025-01-01T00:00:00
SUP-0012,Saltillo Sensors Technologies,VND-00012,Electronic Components,Mexico,Saltillo,TIER_2,77.7,87.2,14,NET60,True,True,2025-01-01T00:00:00
SUP-0013,Hsinchu Shafts Materials Ltd,VND-00013,Mechanical & Machining,Taiwan,Hsinchu,TIER_2,85.4,76.7,18,NET45,True,True,2025-01-01T00:00:00
SUP-0014,Cleveland Antistatic Foam Technologies,VND-00014,Packaging & Hardware,USA,"Cleveland, OH",TIER_3,53.3,52.6,61,NET45,False,True,2025-01-01T00:00:00
SUP-0015,Detroit Antistatic Foam Materials Ltd,VND-00015,Packaging & Hardware,USA,"Detroit, MI",TIER_3,62.5,33.5,59,2/10 NET30,True,True,2025-01-01T00:00:00
SUP-0016,Yokohama Hydraulic Valves Solutions Corp,VND-00016,Mechanical & Machining,Japan,Yokohama,TIER_2,86.7,77.2,23,NET60,True,True,2025-01-01T00:00:00
SUP-0017,Seoul Hex Flange Bolts M8 Precision Mfg,VND-00017,Packaging & Hardware,South Korea,Seoul,TIER_3,45.5,36.4,52,NET45,False,True,2025-01-01T00:00:00
SUP-0018,Munich Microcontrollers Materials Ltd,VND-00018,Electronic Components,Germany,Munich,TIER_2,83.7,82.0,22,NET45,True,True,2025-01-01T00:00:00
SUP-0019,Tainan Hex Flange Bolts M8 Materials Ltd,VND-00019,Packaging & Hardware,Taiwan,Tainan,TIER_2,81.9,71.7,17,2/10 NET30,True,True,2025-01-01T00:00:00
SUP-0020,Seoul ABS Resin Pellets Technologies,VND-00020,Polymers & Chemical,South Korea,Seoul,TIER_2,80.8,74.5,17,NET45,True,True,2025-01-01T00:00:00
SUP-0021,Busan Shafts Global Parts,VND-00021,Mechanical & Machining,South Korea,Busan,TIER_2,90.7,84.5,28,NET30,False,True,2025-01-01T00:00:00
SUP-0022,Hai Phong Corrugated Heavy Boxes Materials Ltd,VND-00022,Packaging & Hardware,Vietnam,Hai Phong,TIER_1,94.1,93.3,14,2/10 NET30,True,True,2025-01-01T00:00:00
SUP-0023,Seoul Gears Industries Inc,VND-00023,Mechanical & Machining,South Korea,Seoul,TIER_1,98.1,92.7,11,2/10 NET30,True,True,2025-01-01T00:00:00
SUP-0024,Munich Titanium Plates Systems AG,VND-00024,Raw Metallurgy,Germany,Munich,TIER_2,87.7,70.9,15,2/10 NET30,True,True,2025-01-01T00:00:00
