work_order_id,product_sku,factory_id,planned_quantity,completed_quantity,start_date,end_date,status,priority
WO-2025-000001,FG-AUTOSYS-079,FAC-EU-01,1000,1000,2025-03-10,2025-03-18,COMPLETED,CRITICAL
WO-2025-000002,FG-AUTOSYS-004,FAC-APAC-01,250,250,2025-08-18,2025-08-24,COMPLETED,HIGH
WO-2025-000003,FG-AUTOSYS-026,FAC-APAC-01,50,50,2025-06-12,2025-06-17,COMPLETED,STANDARD
WO-2025-000004,FG-AUTOSYS-004,FAC-US-01,100,100,2025-02-24,2025-03-08,COMPLETED,STANDARD
WO-2025-000005,FG-AUTOSYS-064,FAC-US-01,250,250,2025-11-06,2025-11-09,COMPLETED,HIGH
WO-2025-000006,FG-AUTOSYS-083,FAC-MX-01,250,250,2025-09-07,2025-09-14,COMPLETED,STANDARD
WO-2025-000007,FG-AUTOSYS-069,FAC-MX-01,500,500,2025-04-12,2025-04-17,COMPLETED,STANDARD
WO-2025-000008,FG-AUTOSYS-091,FAC-EU-01,1000,1000,2025-02-17,2025-03-01,COMPLETED,CRITICAL
WO-2025-000009,FG-AUTOSYS-067,FAC-APAC-01,100,100,2025-02-22,2025-02-27,COMPLETED,HIGH
WO-2025-000010,FG-AUTOSYS-042,FAC-EU-01,500,500,2025-09-02,2025-09-14,COMPLETED,STANDARD
WO-2025-000011,FG-AUTOSYS-024,FAC-MX-01,1000,1000,2025-04-10,2025-04-18,COMPLETED,STANDARD
WO-2025-000012,FG-AUTOSYS-097,FAC-US-01,50,50,2025-05-03,2025-05-13,COMPLETED,CRITICAL
WO-2025-000013,FG-AUTOSYS-034,FAC-EU-01,500,500,2025-06-11,2025-06-14,COMPLETED,STANDARD
WO-2025-000014,FG-AUTOSYS-022,FAC-APAC-01,250,250,2025-11-03,2025-11-14,COMPLETED,HIGH
WO-2025-000015,FG-AUTOSYS-094,FAC-US-01,50,50,2025-05-08,2025-05-11,COMPLETED,HIGH
WO-2025-000016,FG-AUTOSYS-017,FAC-US-01,500,500,2025-08-05,2025-08-18,COMPLETED,STANDARD
WO-2025-000017,FG-AUTOSYS-082,FAC-MX-01,100,0,2026-04-18,2026-04-26,PLANNED,STANDARD
WO-2025-000018,FG-AUTOSYS-009,FAC-MX-01,500,0,2026-05-04,2026-05-14,PLANNED,CRITICAL
WO-2025-000019,FG-AUTOSYS-027,FAC-APAC-01,500,500,2025-05-23,2025-06-06,COMPLETED,HIGH
WO-2025-000020,FG-AUTOSYS-038,FAC-MX-01,50,50,2025-06-12,2025-06-16,COMPLETED,CRITICAL
WO-2025-000021,FG-AUTOSYS-065,FAC-US-01,500,500,2026-03-06,2026-03-20,COMPLETED,STANDARD
WO-2025-000022,FG-AUTOSYS-030,FAC-EU-01,1000,1000,2025-11-01,2025-11-09,COMPLETED,CRITICAL
WO-2025-000023,FG-AUTOSYS-077,FAC-US-01,500,500,2025-06-10,2025-06-18,COMPLETED,HIGH
WO-2025-000024,FG-AUTOSYS-015,FAC-EU-01,500,0,2026-04-22,2026-05-03,PLANNED,STANDARD
WO-2025-000025,FG-AUTOSYS-073,FAC-MX-01,500,0,2026-04-21,2026-05-01,PLANNED,HIGH
WO-2025-000026,FG-AUTOSYS-013,FAC-US-01,500,500,2025-08-30,2025-09-12,COMPLETED,HIGH
WO-2025-000027,FG-AUTOSYS-027,FAC-MX-01,100,100,2026-02-01,2026-02-12,COMPLETED,STANDARD
WO-2025-000028,FG-AUTOSYS-098,FAC-EU-01,1000,1000,2025-09-16,2025-09-26,COMPLETED,STANDARD
WO-2025-000029,FG-AUTOSYS-012,FAC-APAC-01,100,100,2026-02-24,2026-03-08,COMPLETED,STANDARD
WO-2025-000030,FG-AUTOSYS-078,FAC-US-01,1000,1000,2025-03-17,2025-03-24,COMPLETED,STANDARD
WO-2025-000031,FG-AUTOSYS-052,FAC-EU-01,1000,1000,2025-06-18,2025-06-25,COMPLETED,CRITICAL
WO-2025-000032,FG-AUTOSYS-003,FAC-MX-01,500,500,2026-01-25,2026-02-07,COMPLETED,CRITICAL
WO-2025-000033,FG-AUTOSYS-057,FAC-EU-01,50,0,2026-05-15,2026-05-20,PLANNED,HIGH
WO-2025-000034,FG-AUTOSYS-068,FAC-US-01,50,50,2025-03-10,2025-03-23,COMPLETED,STANDARD
WO-2025-000035,FG-AUTOSYS-038,FAC-EU-01,1000,1000,2025-06-09,2025-06-12,COMPLETED,CRITICAL
WO-2025-000036,FG-AUTOSYS-010,FAC-APAC-01,500,500,2026-02-14,2026-02-21,COMPLETED,HIGH
WO-2025-000037,FG-AUTOSYS-025,FAC-APAC-01,500,500,2025-06-07,2025-06-10,COMPLETED,CRITICAL
WO-2025-000038,FG-AUTOSYS-084,FAC-APAC-01,100,100,2025-02-23,2025-03-04,COMPLETED,STANDARD
WO-2025-000039,FG-AUTOSYS-033,FAC-EU-01,1000,1000,2025-11-29,2025-12-04,COMPLETED,CRITICAL
WO-2025-000040,FG-AUTOSYS-047,FAC-MX-01,500,500,2026-03-09,2026-03-14,COMPLETED,HIGH
WO-2025-000041,FG-AUTOSYS-078,FAC-EU-01,50,50,2025-01-27,2025-02-03,COMPLETED,HIGH
WO-2025-000042,FG-AUTOSYS-027,FAC-MX-01,1000,1000,2026-02-25,2026-03-03,COMPLETED,HIGH
WO-2025-000043,FG-AUTOSYS-010,FAC-EU-01,50,50,2025-10-14,2025-10-24,COMPLETED,STANDARD
WO-2025-000044,FG-AUTOSYS-042,FAC-MX-01,50,50,2025-02-17,2025-02-25,COMPLETED,STANDARD
WO-2025-000045,FG-AUTOSYS-072,FAC-EU-01,50,50,2025-09-11,2025-09-18,COMPLETED,CRITICAL
WO-2025-000046,FG-AUTOSYS-034,FAC-US-01,250,250,2026-03-19,2026-03-26,COMPLETED,STANDARD
WO-2025-000047,FG-AUTOSYS-091,FAC-MX-01,1000,1000,2025-09-17,2025-09-26,COMPLETED,CRITICAL
WO-2025-000048,FG-AUTOSYS-041,FAC-MX-01,1000,1000,2025-01-18,2025-02-01,COMPLETED,STANDARD
WO-2025-000049,FG-AUTOSYS-075,FAC-APAC-01,500,500,2026-03-20,2026-03-28,COMPLETED,CRITICAL
WO-2025-000050,FG-AUTOSYS-065,FAC-EU-01,250,250,2025-04-17,2025-05-01,COMPLETED,STANDARD
WO-2025-000051,FG-AUTOSYS-027,FAC-APAC-01,50,50,2025-04-07,2025-04-15,COMPLETED,HIGH
WO-2025-000052,FG-AUTOSYS-008,FAC-US-01,50,50,2026-01-21,2026-01-28,COMPLETED,CRITICAL
WO-2025-000053,FG-AUTOSYS-013,FAC-APAC-01,1000,1000,2025-04-22,2025-04-28,COMPLETED,CRITICAL
WO-2025-000054,FG-AUTOSYS-026,FAC-MX-01,250,250,2025-07-26,2025-08-01,COMPLETED,CRITICAL
WO-2025-000055,FG-AUTOSYS-003,FAC-APAC-01,100,100,2025-04-15,2025-04-22,COMPLETED,STANDARD
WO-2025-000056,FG-AUTOSYS-009,FAC-APAC-01,500,500,2025-05-01,2025-05-07,COMPLETED,CRITICAL
WO-2025-000057,FG-AUTOSYS-029,FAC-MX-01,1000,1000,2025-01-25,2025-02-01,COMPLETED,STANDARD
WO-2025-000058,FG-AUTOSYS-078,FAC-EU-01,50,50,2025-03-29,2025-04-03,COMPLETED,CRITICAL
WO-2025-000059,FG-AUTOSYS-033,FAC-MX-01,1000,0,2026-05-31,2026-06-08,PLANNED,CRITICAL
WO-2025-000060,FG-AUTOSYS-074,FAC-APAC-01,1000,1000,2025-09-08,2025-09-11,COMPLETED,STANDARD
WO-2025-000061,FG-AUTOSYS-066,FAC-APAC-01,250,250,2025-09-06,2025-09-15,COMPLETED,STANDARD
WO-2025-000062,FG-AUTOSYS-057,FAC-EU-01,500,500,2025-11-11,2025-11-14,COMPLETED,CRITICAL
WO-2025-000063,FG-AUTOSYS-019,FAC-US-01,500,500,2025-08-05,2025-08-11,COMPLETED,HIGH
WO-2025-000064,FG-AUTOSYS-053,FAC-APAC-01,500,500,2025-06-24,2025-07-05,COMPLETED,CRITICAL
WO-2025-000065,FG-AUTOSYS-045,FAC-MX-01,250,250,2025-08-12,2025-08-26,COMPLETED,HIGH
WO-2025-000066,FG-AUTOSYS-089,FAC-APAC-01,250,250,2026-04-07,2026-04-14,COMPLETED,HIGH
WO-2025-000067,FG-AUTOSYS-027,FAC-US-01,250,250,2025-12-05,2025-12-10,COMPLETED,STANDARD
WO-2025-000068,FG-AUTOSYS-068,FAC-EU-01,50,50,2025-08-12,2025-08-22,COMPLETED,HIGH
WO-2025-000069,FG-AUTOSYS-013,FAC-EU-01,1000,1000,2025-03-23,2025-03-26,COMPLETED,CRITICAL
WO-2025-000070,FG-AUTOSYS-088,FAC-EU-01,50,50,2025-07-24,2025-08-04,COMPLETED,STANDARD
WO-2025-000071,FG-AUTOSYS-051,FAC-EU-01,500,500,2026-03-13,2026-03-18,COMPLETED,STANDARD
WO-2025-000072,FG-AUTOSYS-032,FAC-EU-01,1000,0,2026-04-17,2026-04-25,PLANNED,CRITICAL
WO-2025-000073,FG-AUTOSYS-059,FAC-US-01,1000,1000,2025-12-26,2026-01-05,COMPLETED,STANDARD
WO-2025-000074,FG-AUTOSYS-038,FAC-EU-01,100,100,2026-01-12,2026-01-19,COMPLETED,HIGH
WO-2025-000075,FG-AUTOSYS-072,FAC-APAC-01,50,50,2025-12-03,2025-12-09,COMPLETED,HIGH
WO-2025-000076,FG-AUTOSYS-015,FAC-APAC-01,1000,1000,2025-11-12,2025-11-26,COMPLETED,STANDARD
WO-2025-000077,FG-AUTOSYS-086,FAC-MX-01,500,500,2025-11-19,2025-12-03,COMPLETED,HIGH
WO-2025-000078,FG-AUTOSYS-093,FAC-APAC-01,1000,1000,2025-03-21,2025-04-01,COMPLETED,STANDARD
WO-2025-000079,FG-AUTOSYS-035,FAC-APAC-01,50,50,2025-07-25,2025-08-03,COMPLETED,CRITICAL
WO-2025-000080,FG-AUTOSYS-027,FAC-US-01,250,250,2025-06-23,2025-07-07,COMPLETED,HIGH
WO-2025-000081,FG-AUTOSYS-055,FAC-EU-01,500,500,2025-02-24,2025-03-01,COMPLETED,HIGH
WO-2025-000082,FG-AUTOSYS-100,FAC-US-01,100,100,2025-10-15,2025-10-23,COMPLETED,HIGH
WO-2025-000083,FG-AUTOSYS-065,FAC-US-01,500,500,2025-08-03,2025-08-07,COMPLETED,HIGH
WO-2025-000084,FG-AUTOSYS-021,FAC-MX-01,500,0,2026-04-28,2026-05-10,PLANNED,CRITICAL
WO-2025-000085,FG-AUTOSYS-060,FAC-APAC-01,250,250,2025-07-01,2025-07-08,COMPLETED,CRITICAL
WO-2025-000086,FG-AUTOSYS-085,FAC-MX-01,250,250,2025-01-24,2025-01-28,COMPLETED,HIGH
WO-2025-000087,FG-AUTOSYS-084,FAC-MX-01,500,500,2025-11-05,2025-11-16,COMPLETED,HIGH
WO-2025-000088,FG-AUTOSYS-097,FAC-US-01,50,50,2025-02-13,2025-02-25,COMPLETED,STANDARD
WO-2025-000089,FG-AUTOSYS-058,FAC-US-01,50,50,2025-05-23,2025-05-29,COMPLETED,HIGH
WO-2025-000090,FG-AUTOSYS-014,FAC-US-01,50,50,2025-02-16,2025-03-01,COMPLETED,CRITICAL
WO-2025-000091,FG-AUTOSYS-094,FAC-APAC-01,500,500,2025-05-20,2025-05-29,COMPLETED,HIGH
WO-2025-000092,FG-AUTOSYS-044,FAC-US-01,50,50,2025-01-17,2025-01-26,COMPLETED,CRITICAL
WO-2025-000093,FG-AUTOSYS-067,FAC-EU-01,1000,1000,2025-05-21,2025-05-29,COMPLETED,CRITICAL
WO-2025-000094,FG-AUTOSYS-055,FAC-APAC-01,250,250,2025-07-09,2025-07-12,COMPLETED,HIGH
WO-2025-000095,FG-AUTOSYS-023,FAC-MX-01,250,250,2025-02-07,2025-02-21,COMPLETED,CRITICAL
WO-2025-000096,FG-AUTOSYS-068,FAC-APAC-01,100,100,2026-02-03,2026-02-10,COMPLETED,HIGH
WO-2025-000097,FG-AUTOSYS-022,FAC-MX-01,100,100,2025-10-02,2025-10-13,COMPLETED,CRITICAL
WO-2025-000098,FG-AUTOSYS-091,FAC-APAC-01,1000,1000,2026-03-01,2026-03-14,COMPLETED,CRITICAL
WO-2025-000099,FG-AUTOSYS-013,FAC-US-01,250,250,2025-11-30,2025-12-14,COMPLETED,CRITICAL
