material_id,sku,name,category,unit_of_measure,standard_cost,current_unit_price,safety_stock_level,reorder_point,target_stock_level,min_order_qty,lead_time_days,is_critical,primary_supplier_id,secondary_supplier_id,created_at
MAT-00001,SKU-MEC-00001,Gears Grade-MilSpec-001,Mechanical & Machining,LITER,42.37,43.14,1127,4592,6622,50,45,False,SUP-0093,SUP-0042,2025-01-01T00:00:00
MAT-00002,SKU-PAC-00002,Corrugated Heavy Boxes Grade-A-002,Packaging & Hardware,METER,21.07,21.88,507,1899,3436,100,24,False,SUP-0078,SUP-0057,2025-01-01T00:00:00
MAT-00003,SKU-POL-00003,ABS Resin Pellets Grade-Industrial-003,Polymers & Chemical,BOX,50.02,54.31,87,297,558,25,21,False,SUP-0086,SUP-0040,2025-01-01T00:00:00
MAT-00004,SKU-MEC-00004,Shafts Grade-B-004,Mechanical & Machining,KG,131.02,144.49,815,3127,5328,1000,34,False,SUP-0016,SUP-0001,2025-01-01T00:00:00
MAT-00005,SKU-MEC-00005,Bearings Grade-Commercial-005,Mechanical & Machining,BOX,18.96,21.07,145,397,829,500,36,True,SUP-0006,SUP-0056,2025-01-01T00:00:00
MAT-00006,SKU-POL-00006,Epoxy Adhesives Grade-MilSpec-006,Polymers & Chemical,BOX,18.96,20.44,422,1204,2280,1000,17,False,SUP-0052,SUP-0003,2025-01-01T00:00:00
MAT-00007,SKU-RAW-00007,Aluminum Billets 6061 Grade-MilSpec-007,Raw Metallurgy,PCS,139.37,139.18,748,2178,3435,50,26,False,SUP-0068,SUP-0011,2025-01-01T00:00:00
MAT-00008,SKU-ELE-00008,Connectors Grade-A-008,Electronic Components,SET,57.06,60.03,167,673,1080,50,22,False,SUP-0045,,2025-01-01T00:00:00
MAT-00009,SKU-PAC-00009,Hex Flange Bolts M8 Grade-A-009,Packaging & Hardware,KG,14.64,16.69,1472,4860,10397,500,44,False,SUP-0060,SUP-0097,2025-01-01T00:00:00
MAT-00010,SKU-PAC-00010,Vibration Dampers Grade-Industrial-010,Packaging & Hardware,KG,44.56,46.25,557,2317,4184,100,44,False,SUP-0081,SUP-0039,2025-01-01T00:00:00
MAT-00011,SKU-POL-00011,Industrial Lubricants Grade-A-011,Polymers & Chemical,PCS,14.74,15.09,325,1045,1849,500,45,False,SUP-0083,SUP-0111,2025-01-01T00:00:00
MAT-00012,SKU-ELE-00012,PCBs Grade-Commercial-012,Electronic Components,BOX,14.7,14.52,139,559,1184,100,35,False,SUP-0065,SUP-0020,2025-01-01T00:00:00
MAT-00013,SKU-ELE-00013,Connectors Grade-B-013,Electronic Components,PCS,32.01,32.0,493,1700,3628,250,17,False,SUP-0057,SUP-0068,2025-01-01T00:00:00
MAT-00014,SKU-POL-00014,Silicone Gaskets Grade-Commercial-014,Polymers & Chemical,PCS,2.99,3.31,359,1073,1746,1000,42,False,SUP-0009,SUP-0043,2025-01-01T00:00:00
MAT-00015,SKU-PAC-00015,Hex Flange Bolts M8 Grade-Industrial-015,Packaging & Hardware,PCS,3.68,3.92,394,1219,2621,100,15,False,SUP-0045,SUP-0040,2025-01-01T00:00:00
MAT-00016,SKU-PAC-00016,Antistatic Foam Grade-Industrial-016,Packaging & Hardware,KG,13.22,14.33,426,1290,2242,100,12,False,SUP-0095,SUP-0088,2025-01-01T00:00:00
MAT-00017,SKU-ELE-00017,Sensors Grade-Industrial-017,Electronic Components,KG,8.05,9.18,365,974,1484,100,21,False,SUP-0099,SUP-0063,2025-01-01T00:00:00
MAT-00018,SKU-ELE-00018,Connectors Grade-Commercial-018,Electronic Components,BOX,34.66,39.05,295,1143,2360,500,16,True,SUP-0019,,2025-01-01T00:00:00
MAT-00019,SKU-MEC-00019,Gears Grade-A-019,Mechanical & Machining,LITER,9.04,9.25,531,1966,3128,250,35,False,SUP-0057,SUP-0079,2025-01-01T00:00:00
MAT-00020,SKU-MEC-00020,Shafts Grade-Commercial-020,Mechanical & Machining,LITER,5.19,5.41,1401,3777,7756,500,33,False,SUP-0049,SUP-0065,2025-01-01T00:00:00
MAT-00021,SKU-MEC-00021,Shafts Grade-A-021,Mechanical & Machining,BOX,123.0,128.67,383,1377,2768,100,14,False,SUP-0120,SUP-0014,2025-01-01T00:00:00
MAT-00022,SKU-POL-00022,Epoxy Adhesives Grade-B-022,Polymers & Chemical,LITER,19.14,18.53,166,558,958,100,8,False,SUP-0105,SUP-0058,2025-01-01T00:00:00
MAT-00023,SKU-MEC-00023,Gears Grade-A-023,Mechanical & Machining,METER,26.42,26.29,256,1008,1642,250,16,False,SUP-0013,SUP-0108,2025-01-01T00:00:00
MAT-00024,SKU-MEC-00024,Gears Grade-MilSpec-024,Mechanical & Machining,SET,5.12,4.87,1546,4921,7327,100,45,True,SUP-0019,,2025-01-01T00:00:00
MAT-00025,SKU-MEC-00025,Shafts Grade-A-025,Mechanical & Machining,PCS,13.48,13.45,100,282,507,500,14,False,SUP-0080,SUP-0059,2025-01-01T00:00:00
MAT-00026,SKU-ELE-00026,Connectors Grade-Commercial-026,Electronic Components,KG,27.72,30.32,518,1618,2507,1000,22,False,SUP-0001,SUP-0079,2025-01-01T00:00:00
MAT-00027,SKU-ELE-00027,Connectors Grade-Industrial-027,Electronic Components,PCS,6.92,7.89,250,850,1509,1000,8,False,SUP-0101,SUP-0065,2025-01-01T00:00:00
MAT-00028,SKU-POL-00028,Silicone Gaskets Grade-Industrial-028,Polymers & Chemical,BOX,37.09,35.36,412,1204,2005,25,44,False,SUP-0045,SUP-0031,2025-01-01T00:00:00
MAT-00029,SKU-RAW-00029,Titanium Plates Grade-Industrial-029,Raw Metallurgy,BOX,12.67,12.48,645,1833,2658,250,18,False,SUP-0060,SUP-0090,2025-01-01T00:00:00
MAT-00030,SKU-ELE-00030,Sensors Grade-B-030,Electronic Components,PCS,17.8,19.73,719,2435,4997,250,39,False,SUP-0041,SUP-0120,2025-01-01T00:00:00
MAT-00031,SKU-RAW-00031,Aluminum Billets 6061 Grade-B-031,Raw Metallurgy,METER,12.66,12.93,380,1508,2555,250,24,False,SUP-0111,SUP-0084,2025-01-01T00:00:00
MAT-00032,SKU-POL-00032,Industrial Lubricants Grade-Industrial-032,Polymers & Chemical,KG,188.2,197.47,920,2624,5199,25,24,False,SUP-0119,SUP-0103,2025-01-01T00:00:00
MAT-00033,SKU-POL-00033,Epoxy Adhesives Grade-B-033,Polymers & Chemical,SET,24.17,24.38,740,2280,3969,1000,35,True,SUP-0082,,2025-01-01T00:00:00
MAT-00034,SKU-POL-00034,Silicone Gaskets Grade-MilSpec-034,Polymers & Chemical,PCS,7.66,8.39,129,529,1010,100,10,False,SUP-0079,SUP-0056,2025-01-01T00:00:00
MAT-00035,SKU-PAC-00035,Hex Flange Bolts M8 Grade-A-035,Packaging & Hardware,KG,60.63,67.89,85,316,605,100,11,False,SUP-0057,SUP-0005,2025-01-01T00:00:00
MAT-00036,SKU-POL-00036,Epoxy Adhesives Grade-A-036,Polymers & Chemical,SET,6.4,6.28,316,987,1799,250,11,False,SUP-0048,,2025-01-01T00:00:00
MAT-00037,SKU-RAW-00037,Carbon Steel Bars Grade-B-037,Raw Metallurgy,PCS,30.87,29.49,402,1466,2357,250,14,False,SUP-0067,SUP-0050,2025-01-01T00:00:00
MAT-00038,SKU-MEC-00038,Bearings Grade-Industrial-038,Mechanical & Machining,BOX,2.84,3.22,172,662,1304,25,35,False,SUP-0016,SUP-0018,2025-01-01T00:00:00
MAT-00039,SKU-RAW-00039,Carbon Steel Bars Grade-A-039,Raw Metallurgy,SET,5.69,6.02,366,1176,1760,50,30,False,SUP-0109,SUP-0021,2025-01-01T00:00:00
MAT-00040,SKU-MEC-00040,Hydraulic Valves Grade-MilSpec-040,Mechanical & Machining,PCS,30.46,31.14,544,1669,2451,100,15,False,SUP-0060,SUP-0103,2025-01-01T00:00:00
MAT-00041,SKU-POL-00041,Industrial Lubricants Grade-Commercial-041,Polymers & Chemical,LITER,55.27,61.01,215,710,1380,100,11,False,SUP-0010,SUP-0017,2025-01-01T00:00:00
MAT-00042,SKU-MEC-00042,Bearings Grade-Commercial-042,Mechanical & Machining,KG,29.62,32.69,76,244,400,50,14,False,SUP-0065,SUP-0117,2025-01-01T00:00:00
MAT-00043,SKU-RAW-00043,Sheet Metal Stainless 304 Grade-Industrial-043,Raw Metallurgy,SET,21.6,24.39,607,2407,3952,500,24,False,SUP-0033,SUP-0026,2025-01-01T00:00:00
MAT-00044,SKU-ELE-00044,Connectors Grade-B-044,Electronic Components,SET,17.62,20.06,644,2708,5662,25,43,False,SUP-0085,SUP-0080,2025-01-01T00:00:00
MAT-00045,SKU-ELE-00045,Connectors Grade-Industrial-045,Electronic Components,BOX,4.82,4.78,172,476,874,1000,38,False,SUP-0080,SUP-0082,2025-01-01T00:00:00
MAT-00046,SKU-RAW-00046,Copper Rods Grade-B-046,Raw Metallurgy,BOX,11.11,11.46,371,1246,2207,100,35,False,SUP-0089,SUP-0008,2025-01-01T00:00:00
MAT-00047,SKU-PAC-00047,Hex Flange Bolts M8 Grade-Industrial-047,Packaging & Hardware,BOX,14.78,14.98,286,916,1360,50,30,False,SUP-0045,SUP-0052,2025-01-01T00:00:00
MAT-00048,SKU-POL-00048,ABS Resin Pellets Grade-Industrial-048,Polymers & Chemical,LITER,78.48,78.45,751,2027,4300,100,22,True,SUP-0012,,2025-01-01T00:00:00
MAT-00049,SKU-PAC-00049,Vibration Dampers Grade-B-049,Packaging & Hardware,KG,35.8,37.58,513,2185,4711,500,38,False,SUP-0064,SUP-0113,2025-01-01T00:00:00
MAT-00050,SKU-POL-00050,Polycarbonate Sheets Grade-B-050,Polymers & Chemical,SET,3.53,3.6,508,2189,3252,50,41,True,SUP-0096,,2025-01-01T00:00:00
MAT-00051,SKU-RAW-00051,Carbon Steel Bars Grade-MilSpec-051,Raw Metallurgy,METER,35.04,33.61,187,638,1123,500,11,True,SUP-0047,SUP-0071,2025-01-01T00:00:00
MAT-00052,SKU-RAW-00052,Titanium Plates Grade-Commercial-052,Raw Metallurgy,PCS,16.06,15.67,1200,3480,5426,500,30,True,SUP-0004,,2025-01-01T00:00:00
MAT-00053,SKU-POL-00053,Epoxy Adhesives Grade-A-053,Polymers & Chemical,PCS,11.65,11.16,881,3437,7267,50,36,False,SUP-0103,SUP-0061,2025-01-01T00:00:00
MAT-00054,SKU-RAW-00054,Titanium Plates Grade-Industrial-054,Raw Metallurgy,KG,48.08,49.45,1012,3252,5878,250,28,False,SUP-0108,SUP-0039,2025-01-01T00:00:00
MAT-00055,SKU-PAC-00055,Vibration Dampers Grade-MilSpec-055,Packaging & Hardware,PCS,76.26,78.07,168,520,838,1000,8,False,SUP-0054,SUP-0075,2025-01-01T00:00:00
MAT-00056,SKU-PAC-00056,Thermal Pallet Wraps Grade-B-056,Packaging & Hardware,BOX,68.33,65.62,463,1311,2089,500,16,False,SUP-0068,SUP-0081,2025-01-01T00:00:00
MAT-00057,SKU-ELE-00057,Capacitors Grade-A-057,Electronic Components,LITER,9.75,9.87,1183,3406,7276,1000,39,False,SUP-0089,SUP-0027,2025-01-01T00:00:00
MAT-00058,SKU-ELE-00058,Capacitors Grade-Commercial-058,Electronic Components,KG,17.46,18.55,840,2271,4014,500,27,False,SUP-0062,SUP-0068,2025-01-01T00:00:00
MAT-00059,SKU-RAW-00059,Titanium Plates Grade-Industrial-059,Raw Metallurgy,BOX,35.32,39.01,502,1908,3047,500,37,False,SUP-0083,SUP-0103,2025-01-01T00:00:00
